56,"Kuwait","127935","..","110840","..","137106","..","106097","..","108498","..","110417","..","105461","..","102117","..","97229","..","98065","..","93476"," a,b"
122,"Kyrgyzstan","2065","..","2455","..","2930","..","3454","..","3460","..","3687","..","3957","..","4074","..","4093","..","4170","..","4369"," a"
139,"Lao People's Democratic Republic","2335","..","2758","..","3491","..","4382","..","4624","..","4997","..","5372","..","5825","..","6174","..","6507","..","6789"," a"
41,"Latvia","10732","..","14332","..","22155","..","22045","..","23796","..","24825","..","25891","..","26731","..","27679","..","28356","..","29924"," a"
80,"Lebanon","21277","..","20920","..","19842","..","25503","..","24512","..","23607","..","22650","..","21640","..","20890","..","20629","..","21182"," a"
159,"Lesotho","3035","..","3677","..","3507","..","3581","..","3568","..","3640","..","3632","..","3597","..","3674","..","3774","..","3940"," a"
181,"Liberia","261","..","770","..","613","..","625","..","679","..","671","..","709","..","797","..","787","..","755","..","755"," a"
108,"Libya","31624","..","30722","..","35646","..","43967","..","17462","..","37662","..","18580","..","14699","..","14355","..","13963","..","17472"," a"
35,"Lithuania","11976","..","14704","..","22823","..","23931","..","25631","..","27023","..","28774","..","30412","..","30251","..","31301","..","32934"," a"
21,"Luxembourg","78706","..","91387","..","94389","..","73483","..","76710","..","74005","..","71988","..","70140","..","76603","..","79160","..","78737"," a,b"
161,"Madagascar","1556","..","1656","..","1597","..","1639","..","1608","..","1583","..","1580","..","1601","..","1597","..","1523","..","1544"," a"
171,"Malawi","1628","..","1781","..","973","..","1175","..","1200","..","1180","..","1200","..","1231","..","1222","..","1220","..","1235"," a"
57,"Malaysia","19376","..","20911","..","24679","..","26274","..","27113","..","27395","..","27760","..","28765","..","29745","..","30450","..","31826"," a"
101,"Maldives","9972","..","12130","..","11092","..","13990","..","14787","..","14845","..","15493","..","16354","..","16509","..","17322","..","18501"," a"
182,"Mali","1834","..","2059","..","2409","..","2385","..","2616","..","2474","..","2459","..","2528","..","2546","..","2494","..","2560"," a"
29,"Malta","31341","..","36545","..","38409","..","38559","..","39225","..","38819","..","38190","..","39829","..","42646","..","42693","..","44446"," a"
159,"Mauritania","4224","..","4231","..","4697","..","4843","..","4799","..","4890","..","5073","..","5238","..","5101","..","5123","..","5221"," a"
65,"Mauritius","12891","..","15923","..","18268","..","23154","..","23849","..","24370","..","24454","..","24473","..","25658","..","27016","..","27986"," a"
74,"Mexico","17917","..","21304","..","21345","..","21491","..","21588","..","21756","..","21496","..","22033","..","22390","..","22468","..","22873"," a"
112,"Moldova (Republic of)","2975","..","2721","..","4385","..","4809","..","5136","..","5212","..","5687","..","5965","..","5744","..","6010","..","6318"," a"
92,"Mongolia","5334","..","5276","..","7063","..","8358","..","9792","..","10382","..","12359","..","12300","..","12218","..","12374","..","11759"," a"
50,"Montenegro","9380","..","14086","..","15374","..","17303","..","17956","..","17758","..","18306","..","18612","..","19425","..","19743","..","20692"," a"
123,"Morocco","6137","..","7064","..","8460","..","10012","..","10364","..","10538","..","10898","..","10909","..","11273","..","11260","..","11561"," a"
180,"Mozambique","387","..","590","..","774","..","933","..","985","..","1028","..","1070","..","1106","..","1134","..","1139","..","1135"," a"
148,"Myanmar","1254","..","1710","..","3014","..","4884","..","5126","..","5453","..","5854","..","6269","..","6652","..","6977","..","7355"," a"
129,"Namibia","7723","..","7803","..","8839","..","9443","..","9815","..","9882","..","10452","..","10562","..","10893","..","10110","..","9907"," a"
149,"Nepal","1564","..","1986","..","2074","..","2439","..","2480","..","2379","..","2438","..","2568","..","2614","..","2585","..","2738"," a"
10,"Netherlands","46631","..","53451","..","52299","..","55283","..","56250","..","55491","..","54876","..","54749","..","55335","..","55796","..","57123"," a"
16,"New Zealand","29776","..","32909","..","36470","..","38723","..","39551","..","40348","..","40763","..","41456","..","42152","..","41983","..","42339"," a"
124,"Nicaragua","4068","..","4932","..","5216","..","5804","..","6089","..","6399","..","6625","..","6855","..","7158","..","6924","..","6930"," a"
189,"Niger","915","..","916","..","962","..","..","..","..","..","1587","..","1599","..","1664","..","1099","..","1109","..","1119"," a"
157,"Nigeria","3281","..","3111","..","4607","..","5678","..","5778","..","5862","..","5994","..","6303","..","6352","..","6127","..","6008"," a"
1,"Norway","60851","..","69832","..","76640","..","70573","..","69949","..","70618","..","70598","..","72774","..","74742","..","75085","..","75731"," a,b"
48,"Oman","58616","..","66549","..","61437","..","61217","..","55853","..","56509","..","55906","..","52804","..","53378","..","51962","..","49282"," a"
150,"Pakistan","5935","..","6082","..","7038","..","7398","..","7501","..","7640","..","7822","..","8088","..","8243","..","8537","..","8786"," a"
119,"Palestine, State of","5546","..","8388","..","8108","..","7425","..","7676","..","8582","..","8092","..","7896","..","8726","..","8802","..","8216"," a"
66,"Panama","11758","..","13175","..","14371","..","18021","..","20696","..","21703","..","22208","..","23059","..","22253","..","24192","..","25102"," a"
153,"Papua New Guinea","3417","..","3100","..","2823","..","3213","..","3309","..","3347","..","3413","..","3650","..","3755","..","3784","..","3789"," a"
110,"Paraguay","7888","..","7392","..","6885","..","8913","..","8305","..","8375","..","10569","..","9654","..","9956","..","10562","..","10486"," a"
89,"Peru","8061","..","8797","..","9602","..","12101","..","12553","..","13334","..","14099","..","14170","..","14878","..","14960","..","15140"," a"
113,"Philippines","5212","..","6293","..","6948","..","8164","..","8241","..","8689","..","9231","..","9577","..","9963","..","10223","..","10705"," a"
33,"Poland","14069","..","18434","..","21550","..","25675","..","26972","..","27398","..","28217","..","29015","..","30144","..","30901","..","32343"," a"
41,"Portugal","28658","..","32585","..","31611","..","30624","..","31363","..","29721","..","29995","..","30291","..","30317","..","31107","..","32013"," a"
37,"Qatar","103836","..","140148","..","129392","..","136890","..","141200","..","137537","..","135959","..","134958","..","137382","..","137260","..","135961"," a,b"
52,"Romania","12873","..","12899","..","17142","..","21025","..","21441","..","21672","..","22251","..","22974","..","23957","..","25409","..","27358"," a"
49,"Russian Federation","16204","..","17162","..","23479","..","27402","..","28805","..","29766","..","30163","..","29923","..","29301","..","29203","..","29671"," a"
158,"Rwanda","790","..","906","..","1183","..","1503","..","1632","..","1719","..","1745","..","1821","..","1928","..","1988","..","2064"," a"
90,"Saint Lucia","13172","..","14224","..","13741","..","14734","..","14700","..","13833","..","13672","..","13792","..","13993","..","13913","..","14101"," a"
99,"Saint Vincent and the Grenadines","8596","..","9679","..","11704","..","12380","..","12313","..","12661","..","12769","..","12927","..","12834","..","13123","..","13306"," a"
104,"Samoa","4805","..","5956","..","6955","..","6831","..","6959","..","6777","..","6791","..","6984","..","7261","..","7769","..","7909"," a"
143,"Sao Tome and Principe","2556","..","2599","..","3130","..","3686","..","3825","..","3717","..","3889","..","4145","..","4084","..","3989","..","4112"," a"
39,"Saudi Arabia","72850","..","70630","..","71184","..","70643","..","74414","..","75176","..","75433","..","75825","..","77577","..","76561","..","73946"," a"
164,"Senegal","2538","..","2753","..","3037","..","2873","..","2771","..","2803","..","2812","..","2829","..","2909","..","2996","..","3101"," a"
67,"Serbia","9549","..","10403","..","14085","..","14468","..","15298","..","15111","..","15118","..","15045","..","15099","..","15315","..","15474"," a"
184,"Sierra Leone","1445","..","812","..","1193","..","1357","..","1375","..","1621","..","1841","..","1854","..","1456","..","1360","..","1387"," a"
9,"Singapore","61488","..","69292","..","76870","..","92872","..","87168","..","87342","..","90293","..","93734","..","91524","..","91090","..","95809"," a,b"
38,"Slovakia","16926","..","19644","..","24619","..","31076","..","31957","..","32905","..","33285","..","33992","..","34902","..","35586","..","36726"," a"
25,"Slovenia","23196","..","28329","..","30007","..","31928","..","31945","..","30931","..","31330","..","32184","..","32169","..","32731","..","34341"," a"
152,"Solomon Islands","2430","..","1863","..","1905","..","1696","..","1820","..","2184","..","2414","..","2303","..","2407","..","2259","..","2281"," a"
113,"South Africa","11755","..","12060","..","13548","..","14673","..","14771","..","14704","..","14904","..","14949","..","15076","..","14935","..","14894"," a"
187,"South Sudan","..","..","..","..","..","..","2382","..","2423","..","1296","..","1331","..","1429","..","1424","..","1254","..","1083"," a"
26,"Spain","35039","..","40861","..","42582","..","40057","..","39085","..","38287","..","37588","..","38446","..","39524","..","40755","..","41850"," a"
76,"Sri Lanka","6431","..","7954","..","9184","..","12358","..","13345","..","14592","..","14563","..","15325","..","15852","..","16272","..","16581"," a"
167,"Sudan","2853","..","3351","..","3990","..","4946","..","5527","..","6020","..","4420","..","6019","..","6180","..","6286","..","6455"," a"
100,"Suriname","13270","..","13165","..","16149","..","18340","..","18325","..","19123","..","19651","..","19651","..","19187","..","17610","..","17449"," a"
7,"Sweden","35015","..","44279","..","50305","..","51804","..","52194","..","50299","..","50373","..","51043","..","52237","..","53374","..","53777"," a"
2,"Switzerland","61757","..","69053","..","71370","..","72633","..","69375","..","67303","..","67563","..","67686","..","68501","..","67608","..","67490"," a"
155,"Syrian Arab Republic","7525","..","7773","..","9128","..","10531","..","9972","..","7927","..","6148","..","4922","..","4529","..","4232","..","4077"," a"
127,"Tajikistan","1776","..","1639","..","2404","..","4303","..","4510","..","4748","..","4140","..","4083","..","4055","..","4182","..","4392"," a"
154,"Tanzania (United Republic of)","1539","..","1710","..","2051","..","2309","..","2419","..","2284","..","2415","..","2720","..","2801","..","2922","..","3037"," a"
83,"Thailand","11412","..","11147","..","13657","..","15021","..","14807","..","15458","..","15439","..","15906","..","16192","..","16710","..","17327"," a"
80,"The former Yugoslav Republic of Macedonia","10197","..","11468","..","12283","..","14081","..","14177","..","14092","..","14453","..","15156","..","15514","..","15967","..","15897"," a"
132,"Timor-Leste","9860","..","7202","..","2566","..","10728","..","10509","..","6214","..","9170","..","8245","..","12010","..","12055","..","10282"," a"
165,"Togo","1309","..","1393","..","1295","..","1276","..","1279","..","1257","..","1289","..","1380","..","1552","..","1587","..","1643"," a"
98,"Tonga","5975","..","6461","..","6868","..","6744","..","6983","..","7037","..","6879","..","6857","..","7072","..","7183","..","7314"," a"
69,"Trinidad and Tobago","16143","..","23155","..","32927","..","36339","..","33191","..","33247","..","35252","..","34617","..","37104","..","36450","..","35435"," a"
95,"Tunisia","9517","..","11683","..","13366","..","15578","..","15100","..","15515","..","15719","..","16087","..","15986","..","16013","..","16152"," a"
64,"Turkey","18654","..","21541","..","25923","..","25618","..","27768","..","28425","..","30158","..","31283","..","32243","..","32497","..","34313"," a"
108,"Turkmenistan","6085","..","6676","..","7898","..","11670","..","12984","..","14210","..","15562","..","16985","..","18378","..","19162","..","20083"," a"
162,"Uganda","1111","..","1253","..","1433","..","1906","..","2015","..","2011","..","2015","..","2043","..","2083","..","2104","..","2109"," a"
88,"Ukraine","6187","..","6057","..","9352","..","9708","..","10398","..","10463","..","10421","..","10398","..","9515","..","9811","..","10513"," a"
34,"United Arab Emirates","138122","..","140901","..","120500","..","70477","..","71922","..","73398","..","75837","..","78712","..","82509","..","84281","..","84130"," a,b"
14,"United Kingdom","37702","..","42494","..","46807","..","48499","..","48776","..","48197","..","48571","..","49190","..","49345","..","49956","..","50485"," a"
13,"United States","49956","..","57713","..","62337","..","60759","..","61454","..","62380","..","63034","..","63488","..","64764","..","65184","..","66208"," a"
55,"Uruguay","15292","..","16967","..","16544","..","21435","..","22297","..","22975","..","24141","..","24683","..","24749","..","24384","..","24905"," a"
105,"Uzbekistan","2918","..","3196","..","3964","..","5549","..","5916","..","6362","..","6857","..","7182","..","7418","..","7833","..","8264"," a"
138,"Vanuatu","2965","..","3261","..","3068","..","3458","..","3434","..","3295","..","3495","..","3537","..","3505","..","3583","..","3635"," a"
78,"Venezuela (Bolivarian Republic of)","21281","..","19923","..","20127","..","20398","..","20590","..","21408","..","21245","..","20695","..","18689","..","16485","..","13976"," a"
116,"Viet Nam","2293","..","3216","..","3701","..","4749","..","4944","..","5084","..","5246","..","5465","..","5722","..","6093","..","6383"," a"
178,"Yemen","4838","..","5845","..","6420","..","7457","..","6312","..","6574","..","6843","..","6586","..","4141","..","2751","..","2308"," a"
144,"Zambia","2290","..","2422","..","2767","..","3583","..","3741","..","4053","..","4008","..","4159","..","4157","..","4097","..","4138"," a"
156,"Zimbabwe","2730","..","2543","..","1923","..","1438","..","1578","..","1792","..","1921","..","1926","..","1944","..","1943","..","1948"," a"
35,"Andorra","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
70,"Antigua and Barbuda","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
103,"Dominica","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
75,"Grenada","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
134,"Kiribati","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
n.a,"Korea (Democratic People's Rep. of)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
17,"Liechtenstein","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
106,"Marshall Islands","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
131,"Micronesia (Federated States of)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
n.a,"Monaco","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
n.a,"Nauru","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
60,"Palau","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
72,"Saint Kitts and Nevis","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
n.a,"San Marino","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
62,"Seychelles","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
n.a,"Somalia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
n.a,"Tuvalu","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
