Indicator Name:,"Intentional homicide victims by sex, counts and rates per 100,000 population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator Definition:,Definitions: “Intentional Homicide” means unlawful death inflicted upon a person with the intent to cause death or serious injury. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total number of female/male victims of intentional homicide,,,,,,,,,,,,,,,,,,"Female/male victims of intentional homicide per 100,000 females/males",,,,,,,,,,,,,,,,
Africa,Southern Africa,Namibia,GHD Estimate,Females,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,3.5,,,,
Africa,Southern Africa,Namibia,GHD Estimate,Males,,,,,,,,,,,,,347,,,,,,,,,,,,,,,,,,31.7,,,,
Africa,Southern Africa,South Africa,NP,Females,,,,,,,"2,727","2,679","2,546","2,596","2,742","2,400",,,,,,,,,,,,,10.8,10.5,9.9,10,10.4,9,,,,,
Africa,Southern Africa,South Africa,NP,Males,,,,,,,"16,379","15,721","15,538","14,171","13,151","13,154",,,,,,,,,,,,,67.6,64.2,62.8,56.6,51.9,51.3,,,,,
Africa,Southern Africa,Swaziland,GHD Estimate,Females,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,4.5,,,,,,
Africa,Southern Africa,Swaziland,GHD Estimate,Males,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,30.9,,,,,,
Africa,Western Africa,Benin,GHD Estimate,Females,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,2.4,
Africa,Western Africa,Benin,GHD Estimate,Males,,,,,,,,,,,,,,,,527,,,,,,,,,,,,,,,,,,10,
Africa,Western Africa,Burkina Faso,GHD Estimate,Females,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,0.2,
Africa,Western Africa,Burkina Faso,GHD Estimate,Males,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,0.6,
Africa,Western Africa,Cabo Verde,MD/CTS,Females,,,,,,,,,,,,7,10,7,15,7,,,,,,,,,,,,,,2.8,3.9,2.7,5.7,2.6,
Africa,Western Africa,Cabo Verde,MD/CTS,Males,,,,,,,,,,,,46,46,47,50,39,,,,,,,,,,,,,,18.1,17.9,18.1,19.1,14.7,
Africa,Western Africa,Côte d'Ivoire,GHD Estimate,Females,,,,,,,,,,,,,,,,855,,,,,,,,,,,,,,,,,,7.5,
Africa,Western Africa,Côte d'Ivoire,GHD Estimate,Males,,,,,,,,,,,,,,,,"1,833",,,,,,,,,,,,,,,,,,15.6,
Africa,Western Africa,Gambia,GHD Estimate,Females,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,1.8,
Africa,Western Africa,Gambia,GHD Estimate,Males,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,16.6,
Africa,Western Africa,Ghana,GHD Estimate,Females,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,1,,,,,
Africa,Western Africa,Ghana,GHD Estimate,Males,,,,,,,,,,,,298,,,,,,,,,,,,,,,,,,2.4,,,,,
Africa,Western Africa,Guinea,GHD Estimate,Females,,,,,,,,,,,,,,,,231,,,,,,,,,,,,,,,,,,3.8,
